public_food_key,classification,food_name,food_description,protein_g_per_100g,carbohydrate_g_per_100g,fat_g_per_100g,fibre_g_per_100g
F005824,15101,"Morwong, fillet, raw",Uncooked morwong fillet.,19.4,0,5.8,0
F005825,15101,"Morwong, fillet, steamed, no added fat",Morwong fillet that has been steamed with no added fat.,23,0,3.7,0
F005856,12511,"Muesli, toasted, added dried fruit & nuts, unfortified","Breakfast cereal made from rolled oats, dried fruit and other ingredients such as nuts, coconut and seeds, and then toasted with the addition of vegetable oil. Does not contain added vitamins or minerals.",8.9,56.6,13.3,11.4
F005857,12511,"Muesli, untoasted or natural style, added dried fruit, unfortified","Breakfast cereal made from rolled oats, dried fruit (including sultanas, currants, apricot, pawpaw, banana, apple and pineapple) and other ingredients including wheat bran, wheat germ, sugar, and/or seeds. Includes mueslis with a small amount of added nuts (less than 3%) including almond, coconut, walnut, hazelnut and pecans. Does not contain added vitamins or minerals.",10.8,59.2,10.8,9.4
F005877,13303,"Muffin, cake-style, berry, commercial","Cake style muffin with added berries, such as blueberries and raspberries.",5.2,44.4,15.6,1.9
F005882,13303,"Muffin, cake-style, chocolate chip, commercial",Cake style muffin with added chocolate chips.,6.4,48.1,17.7,1.4
F005896,12301,"Muffin, English style, from white flour",A round yeasted dough made from white wheat flour (approximately 8.5 cm in diameter and 2 cm thick) that has been baked. Contains added folic acid and iodised salt.,10.1,38.7,2.1,3.2
F005897,12301,"Muffin, English style, from white flour, added dried fruit, toasted",A round yeasted dough made from white wheat flour with added dried fruit and spice (approximately 8 cm in diameter and 2 cm thick) that has been baked. Contains added folic acid and iodised salt. Cooked by toasting after purchase until lightly brown.,9.7,46.4,2,3.6
F005898,12301,"Muffin, English style, from white flour, toasted",A round yeasted dough made from white wheat flour (approximately 8.5 cm in diameter and 2 cm thick) that has been baked. Contains added folic acid and iodised salt. Cooked by toasting after purchase until lightly brown.,11,42.1,2.3,3.4
F005916,16201,"Mulberry, raw",Glossy dark red to black coloured berry with sweet juicy flavour.,2.2,4.3,0.2,2.2
F005921,15101,"Mullet, yelloweye, fillet, baked, no added fat","Mullet with or without skin, cooked by any method.",26.4,0,8.2,0
F005922,15101,"Mullet, yelloweye, fillet, raw",Uncooked mullet fillet caught in Australian waters.,19.2,0,6,0
F005923,15101,"Mullet, yelloweye, fillet, steamed, no added fat","Yelloweye mullet fillet caught in Australian waters, steamed with no added fat.",22,0,5,0
F005926,15101,"Mulloway, fillet baked, no added fat","Mulloway with or without skin, cooked by baking with no added fat or oil.",28.2,0,3.2,0
F005930,15101,"Mulloway, fillet, raw",Uncooked mulloway flesh.,20.6,0,2.3,0
F005932,15101,"Mulloway, fillet, steamed, no added fat",Mulloway flesh that has been steamed with no added fat.,23.2,0,3.9,0
F005945,24703,"Mushroom, common, fresh, fried, no added fat","Cultivated mushrooms that are cream in colour with brown gills, a rounded cap and thick stem. Vary in size and includes mushrooms described as button and flat. Baked, roasted, fried, stir-fried, grilled or BBQ'd without added fat.",5,3.1,1.4,2.7
F005946,24703,"Mushroom, common, fresh, raw","Cultivated mushrooms that are cream in colour with brown gills, a rounded cap and thick stem and varying in size. It includes mushrooms described as button and flat. Uncooked.",2.2,2,0.8,1.4
F005948,24703,"Mushroom, common, vitamin D enhanced, fresh, fried, no added fat","Cultivated, vitamin D enriched mushrooms that are cream in colour with brown gills, a rounded cap and thick stem. Vary in size and includes mushrooms described as button and flat. Fried without added fat.",4,2.3,0.7,2.5
F005949,24703,"Mushroom, common, vitamin D enhanced, fresh, raw","Cultivated vitamin D enriched mushrooms that are cream in colour with brown gills, a rounded cap and thick stem. Vary in size and includes mushrooms described as button and flat. Uncooked.",2.2,1.3,0.4,1.4
F005968,15202,"Mussel, blue, steamed","Flesh of a mussel that has a blue or purple tinged shell, that has been steamed with no added fat.",16,4.7,2.3,0
F005972,31302,Mustard powder,"Dry powder composed of ground yellow mustard seeds, for use in preparation of mustard paste or incorporation into other foods.",29.4,17.2,39.5,5
F005973,23102,"Mustard, cream style","Yellowish paste prepared from ground mustard seeds (typically 10 - 30% of total product), water, vinegar, salt and herbs or other spices. Sold packaged in jars and used as a condiment without further preparation.",5.8,6.2,3.1,4.1
F005976,18102,"Mutton, all cuts, separable fat, cooked","Cooked mutton fat from various regions of the carcase. Oven baked or casseroled as purchased, still attached to the lean muscle meat, with no added fat to an internal temperature of 70 degrees celsius or for 2 hours, then dissected.",10.7,0,67.9,0
F005977,18102,"Mutton, all cuts, separable fat, raw",Raw mutton fat from various regions of the carcase. Internal and external separable fat only.,8.2,0,64.4,0
F005978,18102,"Mutton, boneless dice or strips, shoulder, lean, casseroled, no added fat","Cooked lamb from the fore portion (shoulder) of the carcase. Browned, simmered in minimal water for 2 hours then drained. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",36.4,0,11.4,0
F005979,18102,"Mutton, boneless dice or strips, shoulder, lean, raw","Raw mutton from the fore portion (shoulder) of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",21.3,0,4.2,0
F005980,18102,"Mutton, boneless dice or strips, shoulder, semi-trimmed, casseroled, no added fat","Raw mutton from the fore portion (shoulder) of the carcase. Browned, simmered in minimal water for 2 hours then drained. Lean muscle meat with some inseparable internal fat. Majority of internal and external separable fat removed after cooking.",35.2,0,13.9,0
F005982,18102,"Mutton, boneless dice or strips, shoulder, untrimmed, casseroled, no added fat","Raw mutton from the fore portion (shoulder) of the carcase. Browned, simmered in minimal water for 2 hours then drained. Lean muscle meat with internal and external fat attached.",34.9,0,14.7,0
F005983,18102,"Mutton, boneless dice or strips, shoulder, untrimmed, raw",Raw mutton from the fore portion (shoulder) of the carcase. Lean muscle meat with internal and external fat attached.,20,0,10.2,0
F005997,18102,"Mutton, roasting piece, with bone, leg, lean, raw","Raw mutton. Lean muscle meat only, with all possible internal and external separable fat removed.",21.6,0,3.8,0
F005998,18102,"Mutton, roasting piece, with bone, leg, lean, roasted, no added fat","Cooked mutton. Lean muscle meat only, with all possible internal and external separable fat removed.",29.8,0,7.7,0
F006001,18102,"Mutton, roasting piece, with bone, leg, untrimmed, raw",Raw mutton from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.,19.6,0,12.9,0
F006002,18102,"Mutton, roasting piece, with bone, leg, untrimmed, roasted, no added fat",Cooked mutton from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal and external fat attached.,26.8,0,17.2,0
F006021,16401,"Nectarine, yellow, unpeeled, raw",Small stone fruit with a reddish/orange skin and orange flesh.,0.8,7.9,0,1.6
F006030,26401,"Noodle snack, wheat, flavoured, dry",Dry noodles made from pregelatinised wheat starch and eaten as a snack.,10.4,60,23.6,1.7
F006038,12403,"Noodle, rice stick, boiled, drained","Commercially prepared noodles made from a paste of water and ground rice, or rice with cornflour, which are then dried and coiled. Cooked by boiling without added fat or salt and then drained.",2.5,26.1,0,0.7
F006042,12403,"Noodle, soba, boiled, drained","Commercially prepared dry noodles made from a mix of wheat and buckwheat flour, boiled in unsalted water and then drained.",3.6,21.5,0.4,1.6
F006043,12403,"Noodle, soba, dry",Commercially prepared dry noodles made from a mix of wheat and buckwheat flour. Uncooked.,11.9,71.2,1.3,5.3
F006044,12401,"Noodle, wheat with egg, plain, boiled, no added fat",The dough made by combining wheat flour or semolina (preferably durum wheat) with eggs. Cooked by boiling without added fat or salt.,7.5,29.1,1.4,2.6
F006048,12401,"Noodle, wheat, fresh, soaked, drained","Commercially prepared, moist, wheat based noodle, commonly used in Asian style cooking. Includes noodles described as Hokkien, Singapore and Chow Mein noodles. Cooked by boiling without added fat or salt.",6.3,26.5,1,1.7
F006053,12402,"Noodle, wheat, instant, flavoured, boiled, drained","Commercially prepared noodle made from wheat flour, vegetable oil, salts and vegetable gums, coiled into blocks and dried before packaging. Cooked by heating in boiling water with contents of flavour sachet. Drained of excess water.",3.8,17.6,6.2,1.2
F006054,12402,"Noodle, wheat, instant, flavoured, boiled, undrained","Commercially prepared noodle made from wheat flour, vegetable oil, salts and vegetable gums, coiled into blocks and dried before packaging. Cooked by heating in boiling water with contents of favour sachet. Undrained of excess water.",1.4,6.6,2.3,0.4
F006055,12402,"Noodle, wheat, instant, flavoured, dry, uncooked","Commercially prepared noodle made from wheat flour, vegetable oil, salts and vegetable gums, coiled into blocks and dried before packaging. Includes contents of flavour sachet. Uncooked.",11,54,19.1,3.7
F006066,12402,"Noodle, wheat, instant, unflavoured, boiled, drained","Commercially prepared noodle made from wheat flour, vegetable oil, salts and vegetable gums, coiled into blocks and dried before packaging. Cooked by heating in boiling water without contents of flavour sachet. Drained of excess water.",3.8,17.6,6.2,1.2
F006067,12402,"Noodle, wheat, instant, unflavoured, boiled, undrained","Noodle made from wheat flour, vegetable oil, salts and vegetable gums, coiled into blocks and dried before packaging. Cooked by heating in boiling water. Undrained of excess water.",1.4,6.6,2.3,0.4
F006068,12402,"Noodle, wheat, instant, unflavoured, dry, uncooked","Commercially prepared noodle made from wheat flour, vegetable oil, salts and vegetable gums, coiled into blocks and dried before packaging. Does not include contents of flavour sachet. Uncooked.",11,54,19.1,3.7
F006077,22204,"Nut, almond meal",Almond kernel briefly heated in boiling water to remove skin and ground to form a meal.,19.7,5.4,50.5,11
F006081,22204,"Nut, almond, with skin, raw, unsalted",Raw natural almond kernels with a brown skin and a creamy coloured nut.,19.7,5.4,50.5,11
F006082,22204,"Nut, almond, with skin, roasted, unsalted","Almond kernels with a brown skin and creamy coloured nut, that have been roasted without added salt.",19.7,5.4,52.5,11
F006087,22204,"Nut, brazil, raw or blanched, unsalted","Raw long, three sided creamy coloured nut with a dark brown skin, enclosed in a 3 sided, tough, dull brown-grey shell, without added salt. Generally sold without the shell and are usually imported into Australia from South America.",14.4,2.4,68.5,8.5
F006088,22204,"Nut, cashew, raw, unsalted","Raw, cream coloured kidney shaped nut without added salt.",17,22.9,49.2,5.9
F006090,22204,"Nut, cashew, roasted, salted","Cream coloured kidney shaped nut, that have been roasted with added salt.",17,26.7,48.5,3
F006092,22204,"Nut, cashew, roasted, unsalted",Raw cashew that has been roasted and has no salt added.,17,26.8,47.7,3.4
F006095,22204,"Nut, chestnut, raw, unsalted","Raw large, round, grey-white fleshy nut, pointed at the top, with a thin brown skin inside a smooth, glossy brown, soft shell, without added salt.",3.4,32.1,0.2,14.9
F006096,22204,"Nut, chestnut, roasted, unsalted","Large, round, grey-white fleshy nut, pointed at the top, with a thin brown skin inside a smooth, glossy brown, soft shell, that have been roasted on a fire or in an oven without added salt.",3.4,35.7,1.2,8
F006098,22204,"Nut, hazelnut, raw, unsalted","Raw small, light brown, round nut with point at the top, and a thin brown skin, inside a smooth, hard shell with a rough round area at the base, without added salt.",14.8,5.1,61.4,10.4
F006099,22204,"Nut, macadamia, raw, unsalted","Raw light brown, smooth, spherical nut, with a very hard, smooth brown shell, covered with either a smooth or a slightly rough brown husk, without added salt.",6.5,4.6,76.7,7.9
F006107,22201,"Nut, peanut, with skin, raw, unsalted","Raw kernels with reddish brown skin produced after removing the shell, without added salt.",24.7,8.9,47.1,8.2
F006108,22201,"Nut, peanut, with skin, roasted, with oil, salted","Kernels with reddish brown skin produced after removing the shell, that have been roasted with oil and with added salt. Commonly called Beer Nuts.",24.4,14.4,51.7,8.3
F006109,22201,"Nut, peanut, without skin, roasted, with oil, salted","Kernels that have had the reddish brown skin removed, and have been roasted with oil and with added salt.",25.1,14.1,52.8,6.2
F006110,22201,"Nut, peanut, without skin, roasted, with oil, unsalted","Kernels that have had the reddish brown skin removed, and have been roasted with oil and without added salt.",25.1,14.1,52.8,6.2
F006111,22204,"Nut, pecan, raw, unsalted","Raw elliptical nut with a thin, brown shell, sometimes with a black strip covered by a husk, without added salt.",9.8,4.9,71.9,8.4
F006112,22204,"Nut, pine, raw, unsalted","Raw, small cream coloured, soft kernel, which is shed from the woody scales of the mature pine cone when it opens out, without added salt. Generally sold without shell and imported in Australia from China and European countries.",13,4.5,70,5.1
F006113,22204,"Nut, pistachio, raw, unsalted","Raw small green kernel, covered with a thin skin, encased in a smooth, cream coloured, brittle shell which separates from the kernel, without added salt. Shell removed.",17,7.8,48.6,7.7
F006116,22204,"Nut, walnut, raw, unsalted","Raw walnut kernels, described as either brown (sold for baking purposes) or golden (sold for direct consumption), without added salt. Includes samples originating from China and India.",14.4,3,69.2,6.4
F006118,31302,"Nutmeg, dried, ground","Dried and ground seed of Myristica fragrans (M. officinalis or M. aromatica), used as a spice.",5.8,28.5,36.3,20.8
F006131,20104,"Oat beverage, fluid, added Ca","A dairy milk substitute made from filtered water, oats, sunflower oil and salt. Contains added calcium.",1.3,10.2,0.8,0.3
F006132,20103,"Oat beverage, fluid, unfortified","A dairy milk substitute made from filtered water, oats, sunflower oil and salt, without added vitamins and minerals.",1.3,10.2,0.8,0.3
F006134,12101,"Oat bran, unprocessed, uncooked","The rough outer covering of the oat (located under the husk), that has not undergone further processing other than packaging.",16.7,45,9.3,16.7
F006136,12101,"Oats, hulled, uncooked","A tan coloured, oval-shaped, cylindrical grain that have had their outer husk removed. Uncooked.",12.5,55.5,9.8,8.6
F006141,12601,"Oats, rolled, mixed with sugar or honey & other flavours, uncooked","Quick cooking rolled oats, sold mixed with honey and sugar and other flavours to be used to prepare a hot, porridge-style breakfast dish. Uncooked.",8.3,69.1,7.5,7.5
F006143,12101,"Oats, rolled, uncooked",Crushed grain produced by steaming and flattening with hot rollers. No further cooking. Includes traditional and quick cooking styles.,12.2,54.5,9.5,9.5
F006148,15202,"Octopus, boiled, no added fat",Octopus flesh that has been boiled with no added fat.,16.6,0,1.2,0
F006150,15202,"Octopus, raw",Uncooked octopus flesh.,14.9,0,1,0
F006154,14402,"Oil, almond",Edible oil extracted from the almond (Prunus amygdalus).,0,0,100,0
F006155,14402,"Oil, blend of monounsaturated vegetable oils","Edible oil composed of a mixture, or blend, of various monounsaturated vegetable oils available in 2008. Blend composition in the analysed samples may not represent those available at other times. Oil may contain antioxidant.",0,0,100,0
F006156,14401,"Oil, blend of polyunsaturated vegetable oils","Edible oil composed of a mixture, or blend, of various polyunsaturated vegetable oils available in 2008. Blend composition in the analysed samples may not represent those available at other times. Oil may contain antioxidant.",0,0,100,0
F006159,14402,"Oil, canola","Edible oil extracted from the seeds of the canola plant (Brassica napus or Brassica campestris). Although derived from the same plant, canola oil is not rapeseed oil, and it is distinguished by low levels of erucic acid.",0,0,100,0
F006163,14502,"Oil, coconut",An edible oil derived from the flesh and milk of the coconut palm (Cocos nucifera) fruit. The oil is white and solid at room temperature.,0,0,99.7,0
F006165,14502,"Oil, copha",Solidified edible oil extracted from the coconut and used in baking.,0.2,0,99.9,0
F006166,14401,"Oil, cottonseed",Edible oil derived from the seeds of the cotton plant.,0,0,100,0
F006167,14401,"Oil, grapeseed",Edible oil extracted from the seeds of grapes.,0,0,100,0
F006168,14401,"Oil, linseed or flaxseed",Edible oil extracted from linseeds/flaxseeds.,0,0,100,0
F006169,14402,"Oil, macadamia",Edible oil extracted from the macadamia nut (Macadamia integrifolia).,0,0,100,0
F006170,14401,"Oil, maize",Edible oil obtained from the kernel of corn or maize (Zea mays).,0,0,100,0
F006172,14402,"Oil, mustard seed",Edible oil extracted from the seeds of the mustard plant (Sinapsis alba and Brassica nigra).,0,0,100,0
F006177,14402,"Oil, olive",Edible oil pressed from the flesh of the fruit of the olive tree (Olea europaea).,0,0,99.9,0
F006181,14502,"Oil, palm",Edible oil extracted from the oil palm.,0,0,100,0
F006183,14402,"Oil, peanut",Edible oil extracted from the kernel of the peanut (Leguminosae Arachis hypogaea L.).,0,0,100,0
F006185,14402,"Oil, rice bran",Edible oil extracted from the bran of the rice kernel.,0,0,100,0
F006186,14401,"Oil, safflower",Edible oil extracted from the seeds of the safflower plant (Carthamus tinctorius).,0,0,100,0
F006187,14401,"Oil, sesame","Dark-coloured oil extracted from toasted sesame seeds, used as a flavouring agent in Asian style cooking.",0,0,100,0
F006188,14401,"Oil, soybean",Edible oil extracted from the seeds of the soybean plant (Glycine maximus).,0,0,100,0
F006189,14401,"Oil, sunflower",Edible oil obtained from the seed of the sunflower plant (Helianthus annuus).,0,0,100,0
F006191,14401,"Oil, vegetable","Edible oil composed of a mixture, or blend, of monounsaturated and polyunsaturated vegetable oils. Oil may contain antioxidant.",0,0,100,0
F006194,24705,"Okra, boiled, drained","Short, thin, green seed pod with pronounced ridges running from stem to tip. Cooked without added fat.",3.3,1.5,0.2,4
F006195,24705,"Okra, raw","Short, thin, green seed pod with pronounced ridges running from stem to tip. Uncooked.",3.1,1.4,0.2,3.7
F006198,23202,"Olive, green or black, drained","Pickled fruit of the olive tree, preserved in brine and/or oil, then drained.",2.2,0,21.7,3.2
F006224,24802,"Onion, mature, brown skinned, peeled, fresh, fried, no added fat",A bulb with thin outer layers of brown skin and layers of white flesh tightly wrapped together. Peeled and fried without added fat.,2.1,9.4,0,3.8
F006225,24802,"Onion, mature, brown skinned, peeled, raw",A bulb with thin outer layers of brown skin and layers of white flesh tightly wrapped together. Edible portion includes flesh only. Uncooked.,1.3,5.8,0,2.3
F006243,24802,"Onion, mature, white skinned, peeled, fresh, raw",A bulb with thin outer layers of white skin and layers of white flesh tightly wrapped together. Edible portion includes flesh only. Uncooked.,1.7,4.7,0.1,2.1
F006249,24802,"Onion, spring, fresh, fried, no added fat",Small white onion with long thin green stalks. Fried without added fat.,2.7,7.4,0.3,3.1
F006250,24802,"Onion, spring, fresh, raw",Small white immature onion with long thin green stalks. Uncooked.,1.7,4.6,0.2,1.9
F006276,16301,"Orange, navel, peeled, raw","Round in shape with an orange waxy peel and orange flesh, that can be broken into segments. Include Washington, Lanes Late and Leng navel oranges.",1,8.2,0,2.2
F006277,16301,"Orange, peeled, raw","Round in shape with an orange waxy peel and orange flesh, that can be broken into segments.",1,8.2,0,2.3
F006279,16301,"Orange, valencia, peeled, raw","Round in shape with an orange thin waxy peel and orange flesh, that can be broken into segments.",1,8.2,0,2.4
F006281,31302,"Oregano, dried","Dried, and sometimes ground, leaves of Oreganum vulgare, used as a culinary herb.",9,26.4,4.3,42.5
F006282,18303,"Ostrich, fan fillet, raw",Uncooked meat from ostrich thigh.,23.4,0,0.7,0
F006283,18303,"Ostrich, moon steak, raw",Uncooked meat from ostrich outer thigh muscle.,23.7,0,1.4,0
F006285,15202,"Oyster, aquacultured, raw","Uncooked flesh of oysters purchased in open half shell. Includes oysters described as Pacific, Native and Sydney rock oysters.",10.1,0.6,2.3,0
F006288,15202,"Oyster, native, aquacultured, raw",Uncooked flesh of aquacultured native oysters purchased in open half shell.,7.3,0.6,1.7,0
F006289,15202,"Oyster, Pacific, aquacultured, raw",Uncooked flesh of aquacultured Pacific oysters purchased in open half shell.,10.8,0.6,2.2,0
F006291,15202,"Oyster, Sydney rock, aquacultured, raw",Uncooked flesh of aquacultured Sydney rock oysters purchased in open half shell.,10.6,0.6,2.8,0
F006298,13601,"Pancake, plain, homemade","Home prepared batter made from common household ingredients such as milk, wheat flour and egg. The batter is poured onto a buttered hotplate and cooked until the batter is set.",7.4,30.3,7.6,0.8
F006316,31302,"Paprika, dry powder",Dried and ground fruit of red capsicums (sweet red peppers).,14.1,19.1,12.9,34.9
F006321,24403,"Parsley, continental, fresh, raw",Long stemmed herb with large flat bright green leaves. Uncooked.,3.9,1.1,0.7,5
F006322,24403,"Parsley, curly, fresh, raw",Long stemmed herb with bright green frilly leaves. Uncooked.,1.9,0.4,0.2,5.8
F006326,24302,"Parsnip, peeled, fresh, baked, no added fat","A white root vegetable shaped like a carrot. Peeled, chopped and baked without added fat.",2,12.3,0.5,5
F006327,24302,"Parsnip, peeled, fresh, boiled, drained","A white root vegetable shaped like a carrot. Peeled, chopped and boiled in unsalted water without added fat, then drained.",1.8,10.9,0.4,4.4
F006328,24302,"Parsnip, peeled, fresh, raw",A white root vegetable shaped like a carrot. Peeled and uncooked.,1.6,10.1,0.4,4.1
F006332,16503,"Passionfruit, pulp, canned","Pulp and seeds of purple skinned passionfruit, canned passionfruit pulp.",1.4,20.4,0.7,5.5
F006333,16502,"Passionfruit, raw",Pulp and seeds of purple skinned passionfruit.,2.8,6.9,1.4,11
F006393,13508,"Pasta dish, homemade, cooked unfilled pasta, homemade beef bolognese sauce & added vegetables",Home prepared pasta dish described as spaghetti bolognese made using cooked unfilled pasta and a homemade beef bolognese sauce with or without added vegetables.,7.3,15.2,2.8,1.7
F006409,13508,"Pasta in cream based sauce, dry mix","Commercially packaged product that contains dry pasta mixed with dry ingredients that, when reconstituted with liquid, will form a cream-style dish. Includes mixes described as carbonara or sour cream style. Typical ingredients include pasta, cheese, whey and skim milk powder, salt, spices and colours.",13.1,69.7,3.1,3.6
F006429,12403,"Pasta, gluten free, boiled from dry, no added salt",The dough made from grains other than wheat such as corn and rice with added water. Cooked in boiling water without added salt or fat until firm to the bite. Drained.,3.1,32.4,0.7,1.2
F006444,12401,"Pasta, white wheat flour & egg, boiled from dry, no added salt",The dough made by combining wheat flour or semolina (preferably durum wheat) with eggs. Cooked by boiling without added fat or salt until firm to the bite. Drained.,7.5,29.1,1.4,2.6
F006445,12401,"Pasta, white wheat flour & egg, dry",The dough made by combining wheat flour or semolina (preferably durum wheat) with eggs. The dough is then dried prior to sale.,10.6,74.4,1.6,2.2
F006451,12401,"Pasta, white wheat flour & spinach, boiled from dry, no added salt",The dough made by combining white wheat flour or semolina (preferably durum wheat) with water and spinach. The dough is then dried before packaging and sale. Cooked by boiling without added fat or salt until firm to the bite. Drained.,3.8,27.3,0.4,1.4
F006453,12401,"Pasta, white wheat flour & spinach, dry",The dough made by combining white wheat flour or semolina (preferably durum wheat) with water and spinach. The dough is then dried before packaging and sale. Uncooked.,11.9,73.1,1.3,4.4
F006456,12401,"Pasta, white wheat flour, boiled from dry, no added salt",The dough made by combining wheat flour or semolina (usually durum semolina) with water. Cooked in boiling water without added salt or fat until firm to the bite. Drained.,5.3,26.2,0.4,2.2
F006458,12401,"Pasta, white wheat flour, dry",The dough made by combining wheat flour or semolina (preferably durum semolina) with water. The dough is then dried before packaging and sale.,12.7,68.5,1.4,3.2
F006459,12401,"Pasta, white wheat flour, fresh, boiled, no added salt","Commercial product prepared from white wheat flour and other ingredients and cut to shape, but not dried prior to packaging. Includes fresh pasta containing egg. Boiled without added salt or fat, although the pasta itself is likely to contain added salt.",5.9,27.1,1.3,2.7
F006460,12401,"Pasta, white wheat flour, fresh, uncooked","Commercial product prepared from white wheat flour and other ingredients and cut to shape, but not dried prior to packaging. Includes fresh pasta containing egg. Uncooked.",10.5,49.4,2.1,3.3
F006464,12401,"Pasta, wholemeal wheat flour, boiled from dry, no added salt",The dough made by combining wheat flour (with varying proportions of whole-wheat grain and white flour) or semolina (preferably durum semolina) with water. The dough is then dried before packaging and sale. Cooked by boiling without added fat or salt until firm to the bite. Drained.,5.4,24.6,0.8,5.7
F006465,12401,"Pasta, wholemeal wheat flour, dry",The dough made by combining wheat flour (with varying proportions of whole-wheat grain and white flour) or semolina (preferably durum semolina) with water. The dough is then dried before packaging and sale. Uncooked.,12.5,60.6,2.2,9.9
F006469,23106,"Paste, green curry, commercial","Commercially prepared paste containing green chilli, onions, salt, spices, herbs, vegetable oil and other ingredients, used for preparing south-east Asian style main dishes.",2.4,6.3,7.9,3
F006471,23106,"Paste, Indian style curry, commercial","Commercially prepared Indian style curry paste sauce. Ingredients may include water, tomato and onion puree, vegetable oil, chilli, garlic, ginger, herbs & spices and colours and flavourings.",2.9,14.2,14.1,5.4
F006476,15505,"Paste, shrimp","Commercially prepared dark, pungent paste prepared from shrimp and used as a flavouring in Asian style cooking.",21,0,1,0
F006493,13405,"Pastry, filled with spinach & cheese, purchased frozen, baked",Commercially prepared savoury filo pastry product enclosing a filling of spinach and cheese (generally ricotta or feta).,9.4,24.7,16.4,2.5
F006496,13401,"Pastry, filo, commercial, baked","Baked commercial thin sheets of wheat flour based pastry, prepared without added fat, used in preparation of strudels and Greek-style pastry dishes.",12.2,75.1,3.1,4.3
F006497,13401,"Pastry, filo, commercial, raw","Uncooked commercial thin sheets of wheat flour based pastry, prepared without added fat, used in preparation of strudels and Greek-style pastry dishes.",10.2,55.8,3.8,2.5
F006502,13401,"Pastry, puff, vegetable oil, commercial, baked","Pastry purchased uncooked from supermarkets and then baked at home. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, vegetable oil, salt, citric acid and preservative.",7,44.9,21,4.4
F006503,13401,"Pastry, puff, vegetable oil, commercial, raw","Uncooked pastry purchased ready-to-cook from supermarkets. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, vegetable oil, salt, citric acid and preservative.",5.5,35,16.4,3.4
F006504,13401,"Pastry, puff, with butter, commercial, baked","Pastry purchased uncooked from supermarkets and then baked at home. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, butter, salt, citric acid and preservative.",7.1,42.7,24.7,4.4
F006505,13401,"Pastry, puff, with butter, commercial, raw","Uncooked pastry purchased ready-to-cook from supermarkets. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, butter, salt, citric acid and preservative.",5.5,32.9,19,3.4
F006506,13401,"Pastry, shortcrust style, commercial, baked","Pastry purchased in thin sheets or blocks from supermarkets and baked at home. Produces a firm pastry often used on the base of pies. Typical ingredients include wheat flour, vegetable fat, glycerol, citric acid and water.",7.8,50.4,26.1,7.8
F006507,13401,"Pastry, shortcrust style, commercial, raw","Uncooked pastry purchased in thin sheets or blocks from supermarkets. Produces a firm pastry often used on the base of pies. Typical ingredients include wheat flour, vegetable fat, glycerol, citric acid and water.",6.4,41.3,21.4,6.4
F006528,16502,"Pawpaw (papaya), peeled, raw",Round orange/green skinned fruit with orange or red flesh with seeds.,0.4,8.4,0,2.1
F006535,24501,"Pea, green, fresh, boiled, drained","A fresh small round green seed. Boiled in unsalted water without added fat, then drained.",4.8,6.4,0.4,5.2
F006536,24501,"Pea, green, fresh, raw",A small round green seed. Uncooked.,6.5,7.7,0.5,6.6
F006538,24501,"Pea, green, frozen, boiled, drained","A small round green seed, purchased commercially frozen. Boiled at home in unsalted water, without added fat, then drained.",5.2,6.4,0.3,6.1
F006541,24501,"Pea, green, whole, dried",A small round green seed which has been dehydrated after harvest. Uncooked.,22,40.9,2.1,16.8
F006543,25101,"Pea, split, dried",Yellow or green field pea with husks removed. Dry and uncooked.,23,50.5,2,10.1
F006544,25101,"Pea, split, dried, boiled, drained","Yellow or green field pea with husks removed that have been dried, then soaked in water before boiling in unsalted water and draining.",6.6,9.1,0.4,8.3
F006545,24501,"Pea, yellow, whole, dried",A small round yellow seed. Uncooked.,23.3,43.6,2.3,17.7
F006553,16402,"Peach, canned in pear juice",Small stone fruit with a reddish/orange furry skin and orange flesh canned in pear juice.,0.6,9.5,0,1.3
F006554,16402,"Peach, canned in pear juice, drained","Small stone fruit with a reddish/orange furry skin and orange flesh canned in pear juice, then drained.",0.8,9.4,0.1,2
F006555,16402,"Peach, canned in pear juice, juice only",Pear juice used in canned peaches.,0.4,9.6,0,0.3
F006571,16401,"Peach, white, unpeeled, raw",Small stone fruit with a reddish/orange furry skin and white flesh.,0.7,7.5,0,1.6
F006573,16401,"Peach, yellow, unpeeled, raw",Small stone fruit with a reddish/orange furry skin and orange flesh.,0.7,8,0,1.6
F006577,22202,"Peanut butter, smooth & crunchy, added sugar & salt","Commercial paste made from roasted and ground peanuts. Available in two types with (crunchy) and without (smooth) chunks of peanuts. Contains vegetable oil, added sugar and salt.",22.2,14.3,49.6,5.8
