public_food_key,classification,food_name,food_description,protein_g_per_100g,carbohydrate_g_per_100g,fat_g_per_100g,fibre_g_per_100g
F002649,18301,"Chicken, drumstick, lean flesh, skin & fat, casseroled, no added fat","Flesh, skin and fat from drumstick portion of a chicken. Casseroled with added water then drained, no added fat.",26.9,0,11.6,0
F002650,18301,"Chicken, drumstick, lean flesh, skin & fat, raw","Uncooked flesh, skin and fat from the drumstick portion of a chicken.",17.6,0,9.3,0
F002708,18401,"Chicken, liver, fried, added butter","Liver of chicken, trimmed of external fat and large vessels, fried in butter until cooked.",20.2,0,10.9,0
F002709,18401,"Chicken, liver, raw",Raw liver of chicken trimmed of external fat and large vessels.,16.9,0,4.8,0
F002739,18301,"Chicken, mince, raw",Raw chicken mince likely to be from the breast and thigh portion of a chicken.,21.4,0,1.1,0
F002751,18906,"Chicken, nugget, purchased from fast food chain, grilled","Processed chicken lightly coated and crumbed, and grilled, as purchased from takeaway chain outlets.",14.8,19.9,5.9,1.3
F002752,18906,"Chicken, nugget, purchased from independent takeaway & fast food chain, fried, undefined oil","Processed chicken lightly coated and crumbed, and fried in an unspecified frying fat, as purchased from independent takeaway outlets and fast food chains.",13.1,16.8,15.8,1.1
F002755,18906,"Chicken, nugget, purchased frozen, baked, no added fat",Processed chicken lightly coated and crumbed. Cooked with or without added fat according to label instructions.,14.1,17.8,15.2,1.6
F002756,18605,"Chicken, processed luncheon meat, low or reduced fat","Processed chicken meat product, with a fat content of approximately 3%, generally sold pre-sliced and intended for use as a sandwich filling. Typical ingredients include chicken, water, soy protein, thickener, salt and sugar.",20,4.4,1.2,0.2
F002767,18301,"Chicken, separable fat, composite, baked or roasted, no added fat",Fat able to be separated from the flesh and skin of chicken after baking or roasting.,9.8,0,46.6,0
F002768,18301,"Chicken, separable fat, composite, cooked, no added fat","Fat from a fresh chicken, cooked in a casserole dish with added water.",6.2,0,75.5,0
F002769,18301,"Chicken, separable fat, composite, raw",Fat able to be separated from the flesh and skin prior to cooking.,5.1,0,62.3,0
F002771,18301,"Chicken, skin, composite, baked, no added fat","Baked skin, separated from the flesh of chicken after baking.",22.3,0,38.9,0
F002772,18301,"Chicken, skin, composite, casseroled, no added fat","Skin of chicken, cooked in a casserole dish with added water.",18,0,38.8,0
F002773,18301,"Chicken, skin, composite, raw",Raw skin separated from the flesh of chicken prior to cooking.,12.7,0,35.1,0
F002804,18301,"Chicken, thigh, lean flesh, baked, no added fat","Flesh from thigh portion of a chicken, with skin and fat removed. Baked with no added fat.",24.2,0,8.7,0
F002805,18301,"Chicken, thigh, lean flesh, casseroled, no added fat","Flesh from thigh portion of a chicken, with skin and fat removed. Casseroled with added water, then drained, no added fat.",26.3,0,9.8,0
F002806,18301,"Chicken, thigh, lean flesh, raw","Uncooked flesh from the thigh portion of a chicken, with skin and fat removed.",19.1,0,3,0
F002807,18301,"Chicken, thigh, lean flesh, skin & fat, baked, no added fat","Flesh, skin and fat from the thigh portion of a chicken. Baked with no added fat.",23.1,0,16.1,0
F002808,18301,"Chicken, thigh, lean flesh, skin & fat, casseroled, no added fat","Flesh, skin and fat from the thigh portion of a chicken. Casseroled with added water, then drained, no added fat.",24.1,0,17.1,0
F002809,18301,"Chicken, thigh, lean flesh, skin & fat, raw","Uncooked flesh, skin and fat from the thigh portion of a chicken.",16,0,16.9,0
F002847,18301,"Chicken, wing, lean flesh, baked, no added fat","Flesh from wing portion of a chicken, with skin and fat removed. Baked with no added fat.",30.9,0,7.7,0
F002848,18301,"Chicken, wing, lean flesh, casseroled, no added fat","Flesh from wing portion of a chicken, with skin and fat removed. Casseroled with added water, then drained, no added fat.",27.9,0,8.8,0
F002849,18301,"Chicken, wing, lean flesh, raw","Uncooked flesh from wing portion of a chicken, with skin and fat removed.",18.7,0,4.1,0
F002850,18301,"Chicken, wing, lean flesh, skin & fat, baked, no added fat","Flesh, skin and fat from the wing portion of a chicken. Baked with no added fat.",28.2,0,17.2,0
F002851,18301,"Chicken, wing, lean flesh, skin & fat, casseroled, no added fat","Flesh, skin and fat from the wing portion of a chicken. Casseroled with added water, then drained, no added fat.",24.9,0,17.9,0
F002852,18301,"Chicken, wing, lean flesh, skin & fat, raw","Uncooked flesh, skin and fat from the wing portion of a chicken.",16.1,0,17.4,0
F002880,25102,"Chickpea, canned, drained","Small round cream coloured legume which has been boiled and canned in brine, then drained.",6.3,13.3,2.1,5.7
F002881,25101,"Chickpea, dried","A small, round ball with an uneven surface, approximately 6-7 mm in size. Light to dark brown in colour with a thick seed coat.",19.7,38.5,5.5,20.8
F002882,25101,"Chickpea, dried, boiled, drained","A small, round ball with an uneven surface, approximately 6-7 mm in size. Light to dark brown in colour with a thick seed coat, boiled with no added salt or fat.",7.2,14,2,7.6
F002883,24302,"Chicory, boiled, drained","A leafy vegetable with long white leaves, typically used in salads, stews and casseroles. Boiled in unsalted water without added fat, then drained.",2.1,0.9,0.2,2.1
F002884,24302,"Chicory, raw","A leafy vegetable with long white leaves, typically used in salads, stews and casseroles. Uncooked.",1.8,0.8,0.2,1.8
F002893,31302,"Chilli (chili), dried, ground","Dried and ground red pepper, characterised by a hot sensation when consumed as a spice.",12.3,12.9,14.3,34.2
F002894,24705,"Chilli (chili), green, fried, no added fat","A long thin shiny green vegetable with crisp, moist flesh. Hollow with a seeded core. Sliced and fried without added fat.",3.1,1.1,0.3,14.3
F002896,24705,"Chilli (chili), green, raw","A long thin shiny green vegetable with crisp, moist flesh. Hollow with a seeded core. Uncooked.",2.8,1,0.3,12.9
F002900,24705,"Chilli (chili), red, fried, no added fat","A long thin shiny red vegetable with crisp, moist flesh. Hollow with a seeded core. Sliced and fried without added fat.",1.6,5.3,0.8,8
F002901,24705,"Chilli (chili), red, raw","A long thin shiny red vegetable with crisp, moist flesh. Uncooked.",1.4,4.8,0.7,7.2
F002907,24403,"Chives, raw","Long, thin, flattish, dark green stem which comes to a point at the top. Uncooked.",1.5,2.6,0.3,4.7
F002916,28101,"Chocolate, compound, cooking",Cocoa-based product formulated for baking or other cooking purposes in which cocoa butter is wholly or partially replaced with vegetable oils. Generally dark in colour but also includes milk cooking chocolate.,4,57,30.3,4.6
F002921,28101,"Chocolate, dark, high cocoa solids",Dark chocolate that contains between 40 and 59% cocoa solids so that it is dark in colour and slightly bitter in flavour.,3.9,62.6,30.3,1.2
F002929,28101,"Chocolate, milk",Chocolate confectionery product containing added milk solids and sold in a block or moulded into novelty shapes.,7.6,56,30.6,2.3
F002934,28103,"Chocolate, milk, fondant or caramel filled",Chocolate confectionery with milk chocolate coating enclosing a soft caramel or fondant cream type filling. Includes chocolates such as Snack or Caramello.,6,61.4,24.7,2
F002937,28102,"Chocolate, milk, with dried fruit & nuts","Chocolate confectionery product containing milk chocolate with embedded dried fruit and nuts, commonly raisins, sultanas, almonds and cashews.",7.8,55.4,28,2.9
F002939,28102,"Chocolate, milk, with nuts",Chocolate confectionery product containing milk chocolate with embedded nuts.,9.9,40.7,39.5,4.7
F002946,28101,"Chocolate, white",Chocolate confectionery product that contains milk solids and cocoa butter and is creamy white in colour.,7.1,54.6,34.5,0.2
F002948,24705,"Choko, peeled, fresh, boiled, drained","Pear-shaped green vegetable which grows on a vine and has a single soft seed, and pear-textured pale green flesh. Cooked.",0.6,4.3,0.2,1.7
F002949,24705,"Choko, peeled, fresh, raw","Pear-shaped green vegetable which grows on a vine and has a single soft seed, and pear-textured pale green flesh. Peeled and uncooked.",0.5,3.6,0.2,1.4
F002953,23201,"Chutney or relish, commercial","Jam-like preserve containing fruit, dried fruit, sugar, vinegar, salt and spices.",0.5,43.1,0.3,2.2
F002955,29401,"Cider, apple (alcohol ~4-5% v/v)","Alcoholic beverage prepared from fermented apples with significant residual sugars. Includes cider produced in Australia, New Zealand and Denmark. Approximately 4% alcohol.",0,5.6,0,0
F002963,31302,"Cinnamon, dried, ground","Dried and ground bark or quills of Cinnamomum verum, C. zeylanicum or C. aromaticum, used as a spice.",4,27.5,1.2,53.1
F002970,31302,"Cloves, dried, ground","Dried and ground, unopened flower buds of Syzygium aromaticum, used as a spice.",6,31.6,13,33.9
F002980,11904,Cocoa powder,Powder produced from the liquor extracted from cocoa beans. Typically used to flavour beverages and in baking.,22.1,10.5,15.2,27.7
F002982,22203,"Coconut, cream, regular fat","Liquid extract of the flesh of mature coconuts, containing significant levels of fat so that it has a creamy appearance. Supplied canned or in UHT tetra paks.",1.6,1.4,23.2,0
F002983,22203,"Coconut, fresh, mature fruit, flesh","Fresh flesh from inside a mature coconut, not preserved by drying or other techniques.",3.8,3.3,32.8,8.1
F002984,22203,"Coconut, fresh, mature, water or juice","The liquid portion from the inside of a mature coconut, not preserved or treated.",0.5,4.7,0.1,0
F002985,22203,"Coconut, fresh, young or immature, flesh","Fresh flesh from inside an immature coconut, not preserved by drying or other techniques.",1.6,7,5.6,0.5
F002986,22203,"Coconut, fresh, young or immature, water or juice","The liquid portion from the inside of an immature coconut, not preserved or treated.",0.2,6.6,0,0
F002987,22203,"Coconut, grated & desiccated",Grated or shredded flesh from a mature coconut that has been dried and packaged.,6.9,7.3,65.4,15.4
F002990,22203,"Coconut, milk, canned, reduced fat","Canned liquid extract of the flesh of a mature coconut, generally with added water. Formulated to have a lower fat content than most coconut milks.",0.6,0.9,7.1,0
F002991,22203,"Coconut, milk, canned, regular fat","Canned liquid extract of the flesh of a mature coconut, generally with added water.",1.4,1.7,15.4,0
F003003,15102,"Cod or hake, smoked, steamed",Fillets of cod or hake preserved by cold or liquid smoking so that the fish has an orange colour. Steamed without added fat.,20.1,0,1.5,0
F003009,15102,"Cod, smoked, raw",Uncooked fillets of cod preserved by cold or liquid smoking so that the fish has an orange colour.,18.8,0,1,0
F003014,11209,"Coffee mix, with beverage whitener & sugar, dry powder","Dry product that is a mixture of ingredients such as milk solids, sugar, vegetable oil, maltodextrin and coffee (around 13%), used to produce a hot beverage by mixing with hot water.",13.1,56.1,12.7,3.6
F003017,11201,"Coffee, black, from instant coffee powder","Beverage made from instant coffee powder or granules to which boiling water is added. Does not contain added flavour, milk or sugar.",0.2,0.2,0,0.1
F003018,11203,"Coffee, black, from instant coffee powder, decaffeinated","Beverage made from instant decaffeinated coffee powder or granules to which boiling water is added. Does not contain added flavour, milk or sugar.",0.2,0.2,0,0.1
F003041,11201,"Coffee, espresso, from ground coffee beans","Beverage prepared from ground coffee beans and a small amount of hot water, as purchased in takeaway outlets or restaurants. Does not contain added flavour, milk or sugar.",1.7,0,0.3,0
F003060,11205,"Coffee, instant, dry powder or granules","Dried extract of coffee beans, used to produce a beverage by the addition of boiling water.",18,3.6,0.3,20.6
F003061,11205,"Coffee, instant, dry powder or granules, decaffeinated","Dried extract of decaffeinated coffee beans, used to produce a beverage by the addition of boiling water.",18,3.6,0.3,20.6
F003065,11201,"Coffee, long black, from ground coffee beans","Beverage prepared from ground coffee beans to which a large volume of hot water is added. Does not contain added milk, sugar, or flavour.",0.3,0,0.1,0
F003084,11208,"Coffee, prepared from coffee mix with sugar & whitener, no added milk",Beverage made from dry coffee mix with sugar and whitener to which boiling water is added. Does not contain added milk or flavour.,0.6,2.8,0.6,0.2
F003095,13101,"Cone, wafer style, for ice cream","Wafer shaped into a cone or similar shape, used for serving ice cream.",9.1,79.7,4,3.2
F003097,28102,"Confectionery, almond, chocolate-coated",Almonds coated in a layer of chocolate.,9.4,48.4,33.5,3.6
F003100,28103,"Confectionery, chocolate centre, sugar-coated",Confectionery product containing milk chocolate covered with a sugar-based coating and shaped into a small disc or ball. Includes products described as Smarties.,4.8,76.7,18.8,1.8
